,node,x_pos,y_pos
0,0,0.5569257358846098,-0.839654910920776
1,1,-0.6739335150960758,0.10247828178810056
2,2,-0.577865250120773,-0.6365925527755352
3,3,-0.39001446471021417,-0.7158662947572417
4,4,-0.34226882969688743,0.41501453726687904
5,5,-0.9245095717436412,-0.17433590951236694
6,6,-0.3881957316650217,-0.2991932968437343
7,7,0.09415071373273036,-0.8902277633622507
8,8,0.8498034617072596,0.5712389661952311
9,9,0.38476860284851955,-0.08016863603837983
10,10,-0.5258617240658573,0.7481511505235718
11,11,-0.18477304989924861,0.9488213323823386
12,12,-0.030267278342340175,0.569086392441136
13,13,1.0,-0.08119177834109591
14,14,0.2502989655752119,0.8762467754031183
15,15,0.9017419355917281,-0.5138062934489954
